,Name,StreetAddress,City,State,Zip,Phone,NumberofReviews,Rating,PriceRanges
484,Rose’s Luxury,None,Washington, ,20003,(202) 580-8889,1260,4.5,$$$
485,St. Arnold’s On Jefferson,None,Washington, ,20036,(202) 833-1321,577,4.0,$$
486,The Prospect,None,Washington, ,20009,(202) 450-4130,132,4.0,$$
487,Café Sorriso,None,Washington, ,20008,(202) 803-2872,83,4.0,$$
488,nopa Kitchen + Bar,None,Washington, ,20004,(202) 347-4667,332,4.0,$$$
489,DC Reynolds,None,Washington, ,20010,(202) 506-7178,205,4.0,$$
490,Colony Club,None,Washington, ,20010,(202) 722-7202,90,4.5,$
491,Songbyrd Record Cafe,None,Washington, ,20009,(202) 450-2917,86,4.0,$$
492,Uprising Muffin Company,None,Washington, ,20001,(202) 290-1196,225,4.5,$
493,Roberts Restaurant,None,Washington, ,20008,(202) 756-5300,36,3.5,$$
494,The Bean Counter,None,Washington, ,20007,(202) 625-1665,72,4.0,$
495,Silver Diner,None,Merrifield, ,22042,(703) 204-0812,173,3.5,$$
496,Bread & Chocolate,None,Alexandria, ,22314,(703) 548-0992,139,3.0,$$
497,Vendetta,None,Washington, ,20002,(202) 399-3201,127,3.0,$$
498,Capital Teas,None,Washington, ,20024,(202) 488-8327,1,4.0,$$
499,Patisserie Poupon,None,Washington, ,20007,(202) 342-3248,251,4.0,$$
500,Patisserie Poupon,None,Washington, ,20007,(202) 342-3248,251,4.0,$$
501,Smith Commons,None,Washington, ,20002,(202) 396-0038,472,3.5,$$
502,Bluejacket,None,Washington, ,20003,(202) 524-4862,680,3.5,$$
503,Bread & Chocolate,None,Washington, ,20015,(202) 966-7413,77,3.0,$$
504,Petits Plats,None,Washington, ,20008,(202) 518-0018,155,3.5,$$
505,Three Fifty Bakery and Coffee Bar,None,Washington, ,20009,(202) 629-1022,144,4.5,$
506,Breadline,None,Washington, ,20006,(202) 822-8900,200,3.5,$
507,1905 Restaurant,None,Washington, ,20001,(202) 332-1905,267,3.5,$$
508,The Partisan,None,Washington, ,20004,(202) 524-5322,290,4.0,$$$
509,10 Thomas Restaurant,None,Washington, ,20005,(202) 842-1300,21,3.5,$$
510,Scion,None,Silver Spring, ,20910,(301) 585-8878,213,3.5,$$
511,Chef Geoff’s,None,Washington, ,20016,(202) 237-7800,250,3.0,$$
512,District Kitchen,None,Washington, ,20008,(202) 238-9408,237,3.5,$$
513,Cafe Saint-Ex,None,Washington, ,20009,(202) 265-7839,507,3.5,$$
514,Union Pub,None,Washington, ,20002,(202) 546-7200,232,3.0,$$
515,Edgar Bar & Kitchen,None,Washington, ,20036,(202) 347-2233,109,3.0,$$
516,Chads Friendship Heights,None,Washington, ,20015,(202) 362-8040,202,3.5,$$
517,P J Clarke’s,None,Washington, ,20006,(202) 463-6610,316,3.0,$$
518,Sonoma Restaurant & Wine Bar,None,Washington, ,20003,(202) 544-8088,376,3.5,$$$
519,Bar Dupont,None,Washington, ,20036,(202) 797-0169,276,3.5,$$
520,1789 Restaurant,None,Washington, ,20007,(202) 965-1789,540,4.0,$$$$
521,The Pug,None,Washington, ,20002,(202) 555-1212,207,4.0,$
522,Ben’s Chili Bowl,None,Washington, ,20009,(202) 667-0909,3249,3.5,$
523,Bruegger’s Bagels,None,Alexandria, ,22314,(703) 683-0080,77,3.0,$
524,PAUL Columbia Square,None,Washington, ,20004,(202) 347-1606,32,3.0,$$
525,Coffy Cafe,None,Washington, ,20010,(202) 588-5660,185,4.0,$
526,Bakers & Baristas,None,Washington, ,20004,(202) 347-7893,215,4.0,$$
527,Bagel Place of College Park,None,College Park, ,20740,(301) 779-3900,182,4.0,$
528,Ripple,None,Washington, ,20008,(202) 244-7995,356,3.5,$$$
529,Stoney’s on L,None,Washington, ,20037,(202) 721-0019,134,4.0,$$
530,Le Caprice DC,None,Washington, ,20010,(202) 290-3109,213,3.5,$
531,Swampoodle,None,Washington, ,20011,(202) 450-3511,38,3.5,$$
532,Provision No 14,None,Washington, ,20009,(202) 827-4530,278,3.5,$$
533,Smith Public Trust,None,Washington, ,20017,(202) 733-5834,154,4.0,$$
534,Cosi,None,Washington, ,20005,(202) 289-5888,48,2.5,$$
535,Medium Rare,None,Washington, ,20008,(202) 237-1432,627,3.5,$$
536,Justin’s Cafe,None,Washington, ,20003,(202) 652-1009,251,3.5,$$
537,A-Town Bar & Grill,None,Arlington, ,22203,(703) 528-1110,408,3.5,$$
538,Washington Pour Bar,None,Arlington, ,22202,(571) 350-9008,6,1.5,$$
539,Firehook Bakery,None,Washington, ,20008,(888) 580-0745,168,3.0,$
540,IOTA Club & Cafe,None,Arlington, ,22201,(703) 522-8340,191,4.0,$$
541,Corner Bakery Cafe,None,Washington, ,20001,(202) 627-3139,64,3.0,$
542,Amuse,None,Arlington, ,22209,(703) 351-1211,63,3.0,$$
543,Blue 44 Restaurant & Bar,None,Washington, ,20015,(202) 362-2583,162,4.0,$$
544,801 Restaurant & Bar,None,Washington, ,20001,(202) 332-0207,56,4.0,$$
545,Bourbon,None,Washington, ,20009,(202) 332-0800,324,3.5,$$
546,Article One - American Grill,None,Washington, ,20001,(202) 719-8478,56,3.5,$$
547,Brookland Grill,None,Washington, ,20017,(202) 526-7419,43,3.5,$
548,Penn Commons,None,Washington, ,20001,(202) 905-2999,194,3.5,$$
549,Sora Ethiopian Market,None,Alexandria, ,22304,(703) 566-3855,14,4.5,$$
550,Salt & Pepper,None,Washington, ,20016,(202) 364-5125,64,3.5,$$
551,Terasol,None,Washington, ,20008,(202) 237-5555,86,4.0,$$
552,Sculpture Garden Pavilion Cafe,None,Washington, ,20004,(202) 289-3360,91,3.5,$$
553,Stone’s Throw Restaurant & Bar,None,Washington, ,20008,(202) 745-6920,38,3.0,$$
554,Degrees,None,Washington, ,20007,(202) 912-4100,45,3.5,$$$
555,Crepes Parfait,None,,None,None,(202) 455-4331,69,4.5,$
556,Gordon Biersch Brewery Restaurant,None,Washington, ,20004,(202) 783-5454,554,3.0,$$
557,The Front Page,None,Washington, ,20036,(202) 296-6500,590,3.0,$$
558,Table Talk Restaurant,None,Alexandria, ,22314,(703) 548-3989,279,3.5,$
559,Jojo Restaurant And Bar,None,Washington, ,20009,(202) 319-9350,352,4.0,$$
560,Jojo Restaurant And Bar,None,Washington, ,20009,(202) 319-9350,352,4.0,$$
561,McLean Family Restaurant,None,McLean, ,22101,(703) 356-9883,110,3.5,$$
562,Mike & Sons Sub Shop,None,Rockville, ,20852,(301) 468-9066,98,4.0,$
563,Rustico Restaurant & Bar,None,Arlington, ,22203,(571) 384-1820,597,3.5,$$
564,IHOP,None,Alexandria, ,22312,(703) 658-2163,58,2.5,$
565,Denny’s,None,College Park, ,20740,(301) 798-5699,52,2.5,$
566,Petworth Citizen,None,Washington, ,20011,(202) 722-2939,138,3.5,$$
567,William Jeffrey’s Tavern,None,Arlington, ,22204,(703) 746-6333,283,3.5,$$
568,b DC Penn Quarter,None,Washington, ,20004,(202) 808-8720,640,4.0,$$
569,IHOP,None,College Park, ,20740,(301) 982-7400,62,2.5,$$
570,The Tombs,None,Washington, ,20007,(202) 337-6668,296,3.5,$$
571,Asado Brasserie,None,Beltsville, ,20705,(301) 937-4422,2,4.0,
572,Hawk n’ Dove,None,Washington, ,20003,(202) 547-0030,183,2.5,$$
573,South Block,None,Arlington, ,22201,(703) 465-8423,252,4.0,$$
574,Golden Corral,None,Largo, ,20774,(301) 324-6807,53,2.5,$$
575,Mr. Henry’s,None,Washington, ,20003,(202) 546-8412,164,3.5,$$
576,Cosmos Club,None,Washington, ,20008,(202) 387-7783,29,3.5,$$$
577,Big Chair Coffee & Grill,None,Washington, ,20020,(202) 678-3738,53,3.5,$
578,Jake’s American Grille,None,Washington, ,20008,(202) 966-5253,183,3.0,$$
579,Maddy’s Bar & Grille,None,Washington, ,20009,(202) 483-2266,210,3.5,$$
580,Corner Bakery Cafe,None,Bethesda, ,20817,(301) 469-8853,74,2.5,$$
581,Neopol Savory Smokery,None,Washington, ,20002,(202) 543-1864,128,4.5,$$
582,La Madeleine Country French Cafe,None,Bethesda, ,20814,(301) 215-9142,186,3.5,$$
583,IHOP,None,Capitol Heights, ,20743,(301) 324-9003,60,2.5,$
584,Dolcezza,None,Washington, ,20009,(202) 299-9116,463,4.0,$$
585,Water & Wall,None,Arlington, ,22203,(703) 294-4949,296,4.0,$$
586,Pennsylvania 6 DC,None,Washington, ,20005,(202) 796-1600,215,4.5,$$$
587,Brookland Pint,None,Washington, ,20017,(202) 758-2757,160,3.5,$$
588,Rockspring Cafe,None,Bethesda, ,20817,(301) 530-7522,3,2.5,$
589,Philz Coffee,None,Washington, ,20009,(202) 601-7710,162,4.5,$$
590,Jack’s Famous Deli,None,Lanham, ,20706,(301) 577-1169,13,3.0,$
591,DC-Donuts,None,Washington, ,20003,,64,4.5,$
592,Mosaic Cuisine & Cafe,None,Rockville, ,20852,(301) 468-0682,317,4.0,$$
593,Penn Quarter Sports Tavern,None,Washington, ,20004,(202) 347-6666,279,3.0,$$
594,Metro Cafeteria,None,Vienna, ,22180,(703) 560-2111,2,4.5,$
595,Mr Smith’s of Georgetown,None,Washington, ,20007,(202) 333-3104,55,3.0,$$
596,DC Grill Express,None,Washington, ,20009,(202) 748-5154,91,4.5,$
597,Au Bon Pain,None,Washington, ,20005,(202) 639-0846,31,3.0,$
598,Stoney’s Bar And Grill,None,Washington, ,20005,(202) 234-1818,388,3.5,$$
599,Soho Tea & Coffee,None,Washington, ,20037,(202) 463-7646,265,3.5,$
600,Soho Tea & Coffee,None,Washington, ,20037,(202) 463-7646,265,3.5,$
601,Calabash,None,Washington, ,20001,(202) 525-5386,147,5.0,$
602,Macintyre’s,None,Washington, ,20008,(202) 506-3427,95,4.0,$$
603,Purple Patch,None,Washington, ,20010,(202) 299-0022,290,4.5,$$
604,Po Boy Jim,None,Washington, ,20002,(202) 621-7071,355,4.0,$$
605,Askale Cafe,None,Washington, ,20017,(202) 758-0077,73,4.5,$$
606,Simple Bar & Grill,None,Washington, ,20011,(202) 316-9171,53,4.5,$$
607,Bullfeathers,None,Washington, ,20003,(202) 484-0228,159,3.0,$$
608,Montrose Deli,None,Rockville, ,20852,(301) 468-3050,5,3.5,
609,Touché,None,Washington, ,20002,(202) 399-1123,21,2.0,$$
610,Rustico,None,Alexandria, ,22314,(703) 224-5051,606,3.5,$$
611,IHOP,None,Falls Church, ,22042,(703) 237-5191,55,3.0,$
612,IHOP,None,Silver Spring, ,20902,(301) 942-2323,54,2.5,$$
613,Chaia,None,Washington, ,20007,(202) 333-5222,247,4.5,$$
614,Daily Grill,None,Washington, ,20036,(202) 822-5282,306,3.0,$$
615,Sequoia,None,Washington, ,20007,(202) 944-4200,680,3.0,$$$
616,IHOP,None,New Carrollton, ,20784,(301) 429-2088,26,2.5,$
617,Radici,None,Washington, ,20003,(202) 758-0086,56,4.0,$
618,Georgetown Bagelry,None,Bethesda, ,20816,(301) 657-4442,107,4.0,$
619,Kingbird,None,Washington, ,20037,(202) 838-4471,25,4.5,$$$
620,Occidental Grill & Seafood,None,Washington, ,20004,(202) 783-1475,257,3.5,$$$
621,8407 Kitchen Bar,None,Silver Spring, ,20910,(301) 587-8407,528,3.5,$$
622,Constitution Cafe,None,Washington, ,20002,(202) 216-9433,17,2.5,$$
623,Tastee Diner,None,Bethesda, ,20814,(301) 652-3970,255,3.5,$
624,Plume,None,Washington, ,20036,(202) 448-2300,156,4.0,$$$$
625,Pleasant Pops Farmhouse Market & Cafe,None,Washington, ,20009,(202) 558-5224,280,4.5,$
626,Nazret Express Eaterey,None,Falls Church, ,22041,(703) 347-9911,2,5.0,
627,Dandy Restaurant Cruises,None,Alexandria, ,22314,(703) 683-6076,58,3.0,$$$$
628,Cafe America,None,McLean, ,22102,(703) 848-1971,4,4.0,$
629,IHOP,None,Greenbelt, ,20770,(301) 486-1234,73,2.5,$$
630,IHOP,None,Forestville, ,20747,(301) 967-9300,25,2.0,$$
631,Arlington Diner,None,Arlington, ,22206,(703) 549-0677,107,3.0,$
632,The Grill Room,None,Washington, ,20007,(202) 617-2424,68,3.5,$$$
633,Cleveland Park Bar and Grill,None,Washington, ,20008,(202) 806-8940,221,3.0,$$
634,King Street Cafe,None,Alexandria, ,22314,(703) 549-3717,71,4.0,$
635,Democracy Center Cafe,None,Bethesda, ,20817,(301) 530-0984,2,4.0,
636,Fire & Sage,None,Washington, ,20005,(202) 661-8925,114,3.0,$$
637,15 Ria,None,Washington, ,20005,(202) 742-0015,61,2.5,$$
638,Bob Evans,None,Springfield, ,22150,(703) 644-6262,67,3.0,$$
639,La Madeleine Country French Cafe,None,Falls Church, ,22041,(703) 379-5551,106,3.0,$$
640,The Woodside Deli,None,Silver Spring, ,20910,(301) 589-7055,97,3.5,$
641,Bracket Room,None,Arlington, ,22201,(703) 276-7337,366,3.5,$$
642,West Wing Cafe,None,Washington, ,20036,(202) 628-2233,168,4.0,$
643,EatsPlace,None,Washington, ,20010,(202) 882-3287,32,4.0,$$
644,Zed’s Cafe,None,Silver Spring, ,20910,(301) 495-5614,195,4.5,$
645,All Set Restaurant & Bar,None,Silver Spring, ,20910,(301) 495-8800,314,4.0,$$
646,Galley Cafe,None,Falls Church, ,22042,(703) 560-2800,2,3.5,$
647,Slate Wine Bar + Bistro,None,Washington, ,20007,(202) 333-4304,140,3.5,$$
648,Avenue Cafe & Lounge,None,Washington, ,20005,(202) 349-3030,13,3.5,$$
649,The Pub & The People,None,Washington, ,20002,(202) 234-1800,107,4.0,$$
650,STK Washington D.C.,None,Washington, ,20036,(202) 296-1880,396,3.5,$$$
651,minibar by José Andrés,None,Washington, ,20004,(202) 393-0812,256,4.5,$$$$
652,MGM Roast Beef,None,Washington, ,20018,(202) 248-0389,177,4.5,$$
653,Proof Restaurant,None,Washington, ,20001,(202) 737-7663,809,4.0,$$$
654,Samantha’s Diner and Bakery,None,Silver Spring, ,20902,(301) 933-0998,13,2.0,$
655,GCDC Grilled Cheese Bar,None,Washington, ,20006,(202) 393-4232,254,3.5,$$
656,Peregrine Espresso,None,Washington, ,20003,(202) 629-4381,406,4.5,$
657,Peet’s Coffee,None,Washington, ,20005,(202) 568-6644,59,3.5,$$
658,Tysons Bagel Market,None,Vienna, ,22182,(703) 448-0080,172,4.0,$
659,Tortoise & Hare Bar and Grille,None,Arlington, ,22202,(703) 979-1872,150,3.5,$$
660,Columbia Firehouse,None,Alexandria, ,22314,(703) 683-1776,772,3.5,$$
661,Meats & Foods,None,Washington, ,20001,(202) 505-1384,65,4.5,$
662,Cafe Mozart,None,Washington, ,20005,(202) 347-5732,364,4.0,$$
663,SUNdeVICH,None,Washington, ,20001,(202) 319-1086,456,4.0,$$
664,Kefa Cafe,None,Silver Spring, ,20910,(240) 641-8023,128,4.5,$
665,Olive’s,None,Rockville, ,20852,(301) 230-6727,2,5.0,$$$
666,College Park Diner,None,College Park, ,20740,(301) 441-8888,173,4.0,$
667,Un Je Ne Sais Quoi,None,Washington, ,20036,(202) 721-0099,174,4.5,$
668,Nick’s Riverside Grill,None,Washington, ,20007,(202) 342-3535,261,2.5,$$
669,New Heights Restaurant,None,Washington, ,20008,(202) 234-4110,154,3.5,$$$
670,Garrison,None,Washington, ,20003,(202) 506-2445,120,3.5,$$$
671,Stanton and Greene,None,Washington, ,20003,(202) 525-3325,64,3.5,$$
672,Ventnor Sports Cafe,None,Washington, ,20009,(202) 234-3070,171,4.0,$$
673,DC Wisey’s,None,Washington, ,20007,(202) 333-4122,266,3.5,$
674,Olivia Macaron,None,Washington, ,20007,(202) 965-1000,272,4.0,$$
675,Dolcezza,None,Washington, ,20007,(202) 333-0933,303,4.0,$$
676,Saxbys Coffee,None,Washington, ,20007,(202) 338-3777,98,3.5,$
677,Tenley Bar & Grill,None,Washington, ,20016,(202) 237-1783,63,3.5,$$
678,RFD Washington,None,Washington, ,20001,(202) 289-2030,645,3.0,$$
679,Twist Cafe & Deli,None,Falls Church, ,22041,(703) 998-2542,17,4.5,$
680,Twist Cafe & Deli,None,Falls Church, ,22041,(703) 998-2542,17,4.5,$
681,Krispy Kreme Doughnuts,None,Washington, ,20036,(202) 463-0414,168,3.5,$
682,Silver Diner,None,Rockville, ,20852,(301) 770-2828,469,4.0,$$
683,The Black Squirrel,None,Washington, ,20009,(202) 232-1011,287,3.5,$$
684,Booeymonger,None,Washington, ,20015,(202) 686-5805,160,3.5,$
685,21M Lounge,None,Washington, ,20036,(202) 530-3621,12,3.5,$$
686,Vermilion,None,Alexandria, ,22314,(703) 684-9669,624,4.0,$$$
687,Ramparts,None,Alexandria, ,22302,(703) 998-6616,164,3.5,$$
688,Spring Mill Bread,None,Washington, ,20003,(202) 547-9190,111,3.5,$
689,Urban Cafe - It’s Delicious!,None,Washington, ,20005,,2,3.0,
690,Westend Bistro,None,Washington, ,20037,(202) 835-0500,258,3.5,$$$
691,TAKODA Restaurant & Beer Garden,None,Washington, ,20001,(202) 525-1252,135,3.5,$$
692,BRABO,None,Alexandria, ,22314,(703) 894-3440,369,4.0,$$$
693,Dogwood Tavern,None,Falls Church, ,22046,(703) 237-8333,319,3.5,$$
694,The Oval Room,None,Washington, ,20006,(202) 463-8700,261,3.5,$$$
695,Eatbar,None,Washington, ,20003,(202) 847-4827,47,4.5,$$
696,Emily’s Kitchen,None,Alexandria, ,22304,(703) 317-0288,,,
697,IHOP,None,Clinton, ,20735,(301) 868-4356,28,2.5,$$
698,Cafe Deluxe,None,McLean, ,22102,(703) 761-0600,303,3.5,$$
699,Bobby’s Burger Palace,None,Washington, ,20037,(202) 974-6260,572,3.5,$$
700,CRISP Kitchen + Bar,None,Washington, ,20001,(202) 853-9115,114,3.5,$$
701,Langston Bar & Grille,None,Washington, ,20002,(202) 397-3637,165,2.5,$$
702,Crepeaway,None,Washington, ,20036,(202) 973-0404,306,4.0,$
703,Meridian Deli,None,Arlington, ,22202,(703) 417-1975,23,1.5,$
704,Morrison-Clark Restaurant,None,Washington, ,20001,(202) 898-1200,21,4.0,$$
705,Coffee Castle,None,Springfield, ,22150,,1,5.0,
706,Fairfax Inn Restaurant,None,Falls Church, ,22044,(703) 532-0616,86,4.0,$
707,Le Chat Noir,None,Washington, ,20050,(202) 244-2044,212,3.5,$$
708,Grand Central,None,Washington, ,20009,(202) 986-1742,184,3.0,$$
709,Fast Gourmet,None,Washington, ,20009,(202) 448-9217,530,4.0,$$
710,Momofuku CCDC,None,Washington, ,20001,(202) 602-1832,826,3.5,$$
711,Chequers Restaurant & Lounge,None,Alexandria, ,22314,(703) 683-6000,1,1.0,
712,Jolt ‘N Bolt Coffee & Tea House,None,Washington, ,20009,,129,3.0,$
713,Crepes On The Walk,None,Washington, ,20001,(202) 393-4910,153,4.0,$
714,Paul,None,Washington, ,20036,(202) 524-4860,107,2.5,$$
715,Bon Vivant Cafe,None,Alexandria, ,22301,(571) 290-3820,136,3.5,$$
716,Potbelly Sandwich Shop,None,Washington, ,20017,(202) 971-3501,15,3.0,$
717,Paisley Fig,None,Washington, ,20010,(202) 425-0525,9,4.0,$
718,AG Kitchen,None,Silver Spring, ,20910,(301) 588-9400,283,3.0,$$
719,Bareburger,None,Washington, ,20009,(202) 888-4582,131,3.5,$$
720,Duality Espresso & Whiskey Bar,None,Washington, ,20009,(202) 506-7716,13,4.5,$$
721,The Oceanaire Seafood Room,None,Washington, ,20004,(202) 347-2277,443,3.5,$$$
722,Jack Rose Dining Saloon,None,Washington, ,20009,(202) 588-7388,505,3.5,$$
723,Infuse Restaurant and Lounge,None,Temple Hills, ,20748,(301) 449-9000,69,3.5,$$
724,Union Street Public House,None,Alexandria, ,22314,(703) 548-1785,361,3.5,$$
725,Culture Coffee,None,Washington, ,20011,(202) 507-8349,30,4.5,$
